,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
4188,FALSE POSITIVE,10.81315417,0.804,1.275,80.3,0.009134,9.9606,1.46,0.1059,88.83,1045.0,281.84,39.5,16.6,6380.0,4.24,0.34,1.46,1.351
4189,FALSE POSITIVE,359.08368,1.262,15.67,618.7,0.286377,0.01197,29.15,0.9846,88.33,268.0,1.23,43.4,10.8,6256.0,4.493,-0.44,0.932,0.986
4190,CANDIDATE,58.7488629,0.186,3.191,473.6,0.019865,15.37282,1.75,0.2696,89.92,425.0,7.7,141.0,13.6,5574.0,4.505,-0.5,0.805,0.756
4191,FALSE POSITIVE,3.74784374,0.093,3.658,116.5,0.009894,0.6620199999999999,1.08,0.0483,89.32,1226.0,534.57,7.89,12.8,6122.0,4.471,-0.1,0.996,1.07
4192,CANDIDATE,64.740274,0.74,15.082,113.1,0.010514,0.052020000000000004,1.35,0.3077,88.12,518.0,16.96,22.6,16.4,5999.0,4.263,-0.32,1.177,0.926
4193,CANDIDATE,5.38299284,0.417,3.336,35.1,0.005534000000000001,0.94191,0.78,0.0627,87.88,1253.0,582.98,11.3,10.7,6256.0,4.27,-0.02,1.293,1.135
4194,FALSE POSITIVE,1.71028117,0.372,2.61,111.6,0.009798000000000001,0.6916800000000001,0.91,0.0275,85.51,1454.0,1055.42,4.75,13.8,5910.0,4.55,-0.28,0.855,0.945
4195,CANDIDATE,2.0481582,0.179,1.899,183.3,0.012387,2.5173400000000004,1.16,0.0311,88.76,1346.0,773.92,8.234,11.7,5799.0,4.548,-0.16,0.86,0.955
4196,CONFIRMED,140.251943,0.323,6.576,567.7,0.021342,3.7841,1.84,0.4836,89.88,271.0,1.28,157.9,11.9,4821.0,4.529,0.16,0.788,0.765
4197,CANDIDATE,14.7179342,0.704,5.844,132.3,0.011244,0.23935,1.25,0.12,87.12,784.0,89.3,13.99,12.7,6102.0,4.449,-0.06,1.018,1.058
4198,FALSE POSITIVE,0.570828503,0.609,0.915,174.4,0.012689,3.5311199999999996,0.54,0.01,81.1,986.0,222.55,3.93,13.9,3585.0,4.868,-0.2,0.388,0.406
4199,FALSE POSITIVE,134.4665,0.2848,5.27,1032.0,0.028713,7.52337,2.48,0.4696,89.95,280.0,1.45,193.0,6.7,4891.0,4.524,0.1,0.791,0.764
4200,FALSE POSITIVE,0.9093148109999999,0.722,2.2053,40.5,0.006266,0.30051,0.99,0.019,72.19,2503.0,9311.68,2.36,30.2,6508.0,4.163,-0.3,1.447,1.111
4201,CONFIRMED,207.24785,0.21,6.159,809.2,0.025838999999999997,7.5723199999999995,1.56,0.5697,89.95,189.0,0.3,258.1,13.2,4339.0,4.711,-0.58,0.553,0.573
4202,FALSE POSITIVE,186.55347,0.2803,13.57,334.5,0.016896,0.5886899999999999,1.86,0.6458,89.95,341.0,3.18,102.7,11.0,6187.0,4.446000000000001,-0.2,1.006,1.026
4203,CANDIDATE,5.99078221,0.944,1.699,69.9,0.009741,0.48278999999999994,1.03,0.0636,84.42,987.0,223.93,9.71,8.6,5721.0,4.442,0.0,0.972,0.954
4204,FALSE POSITIVE,14.0801852,0.308,3.402,90.7,0.008751,2.67453,1.04,0.1193,89.42,798.0,95.62,30.4,6.9,5984.0,4.421,0.24,1.089,1.142
4205,CANDIDATE,2.440839436,1.253,0.968,509.5,0.279368,0.43127,21.29,0.0322,75.89,986.0,223.8,5.14,14.4,4803.0,4.623,-0.08,0.698,0.752
4206,CONFIRMED,23.6223571,0.369,6.852,57.0,0.007017,0.50976,1.07,0.1611,89.14,797.0,95.35,24.68,11.4,6144.0,4.149,-0.3,1.393,0.999
4207,CANDIDATE,19.2527652,0.028,4.862,138.5,0.010815,1.4585700000000001,1.24,0.1454,89.95,740.0,71.04,30.57,10.8,6258.0,4.442,-0.12,1.046,1.102
4208,FALSE POSITIVE,3.28931936,1.422,1.921,166.0,0.43144099999999996,0.03095,50.51,0.045,56.94,1364.0,818.01,2.61,11.1,6335.0,4.427,-0.14,1.072,1.12
4209,FALSE POSITIVE,1.08195208,0.257,4.807,33.6,0.005235,0.09231,0.47,0.0189,81.73,1526.0,1275.68,1.788,12.4,5233.0,4.489,-0.16,0.824,0.764
4210,FALSE POSITIVE,0.512583041,0.116,1.498,114.3,0.009823,1.40073,1.07,0.0129,87.53,2363.0,7320.09,2.6895,17.1,6077.0,4.471,-0.04,0.999,1.077
4211,CANDIDATE,219.20579,0.517,14.5,207.8,0.013669999999999998,0.40195,2.66,0.8176,89.71,456.0,10.18,100.7,15.2,6990.0,4.115,0.06,1.785,1.515
4212,CANDIDATE,2.29794819,0.108,2.84,83.2,0.008411,0.86477,0.98,0.0354,89.01,1547.0,1352.14,6.226,12.2,6371.0,4.426,-0.18,1.072,1.117
4213,FALSE POSITIVE,368.11581,0.0125,13.52,476.2,0.02001,1.33395,2.11,1.0192,89.95,263.0,1.12,212.2,11.2,6122.0,4.487,-0.18,0.964,1.041
4214,FALSE POSITIVE,368.52466,0.5045,11.9,680.3,0.024556,1.3072,3.05,1.074,89.95,288.0,1.62,210.9,14.0,6343.0,4.4110000000000005,0.07,1.137,1.213
4215,CONFIRMED,4.54586982,0.563,1.756,76.5,0.008237999999999999,4.15244,0.65,0.0475,88.05,868.0,134.21,16.55,24.4,5051.0,4.562,-0.36,0.721,0.692
4216,CANDIDATE,3.48754109,0.32,1.811,85.1,0.008376999999999999,4.34417,0.72,0.0431,88.7,988.0,224.74,14.08,7.3,5252.0,4.593,0.07,0.783,0.896
4217,FALSE POSITIVE,0.542498653,0.3422,4.257,54.9,0.006973999999999999,0.09988,2.25,0.0164,72.77,5157.0,167191.11,1.158,19.8,8711.0,3.795,-0.26,2.954,1.987
4218,CANDIDATE,8.0772455,0.984,7.272,79.2,0.011741,0.00322,2.61,0.0847,63.83,1228.0,537.66,2.23,12.5,5684.0,3.915,0.3,2.032,1.239
